"id";"photo";"height";"weight";"base_experience";"attack";"defense";"hp";"special_attack";"special_defense";"speed"
"psyduck";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/54.png";8;196;64;52;48;50;65;50;55
"golduck";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/55.png";17;766;175;82;78;80;95;80;85
"mankey";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/56.png";5;280;61;80;35;40;35;45;70
"primeape";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/57.png";10;320;159;105;60;65;60;70;95
"growlithe";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/58.png";7;190;70;70;45;55;70;50;60
"arcanine";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/59.png";19;1550;194;110;80;90;100;80;95
"poliwag";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/60.png";6;124;60;50;40;40;40;40;90
"poliwhirl";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/61.png";10;200;135;65;65;65;50;50;90
"poliwrath";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/62.png";13;540;230;95;95;90;70;90;70
"abra";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/63.png";9;195;62;20;15;25;105;55;90
"kadabra";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/64.png";13;565;140;35;30;40;120;70;105
"alakazam";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/65.png";15;480;225;50;45;55;135;95;120
"machop";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/66.png";8;195;61;80;50;70;35;35;35
"machoke";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/67.png";15;705;142;100;70;80;50;60;45
"machamp";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/68.png";16;1300;227;130;80;90;65;85;55
"bellsprout";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/69.png";7;40;60;75;35;50;70;30;40
"weepinbell";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/70.png";10;64;137;90;50;65;85;45;55
"victreebel";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/71.png";17;155;221;105;65;80;100;70;70
"tentacool";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/72.png";9;455;67;40;35;40;50;100;70
"tentacruel";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/73.png";16;550;180;70;65;80;80;120;100
"geodude";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/74.png";4;200;60;80;100;40;30;30;20
"graveler";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/75.png";10;1050;137;95;115;55;45;45;35
"golem";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/76.png";14;3000;223;120;130;80;55;65;45
"ponyta";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/77.png";10;300;82;85;55;50;65;65;90
"rapidash";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/78.png";17;950;175;100;70;65;80;80;105
"slowpoke";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/79.png";12;360;63;65;65;90;40;40;15
"slowbro";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/80.png";16;785;172;75;110;95;100;80;30
"magnemite";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/81.png";3;60;65;35;70;25;95;55;45
"magneton";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/82.png";10;600;163;60;95;50;120;70;70
"farfetchd";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/83.png";8;150;123;65;55;52;58;62;60
"doduo";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/84.png";14;392;62;85;45;35;35;35;75
"dodrio";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/85.png";18;852;161;110;70;60;60;60;100
"seel";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/86.png";11;900;65;45;55;65;45;70;45
"dewgong";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/87.png";17;1200;166;70;80;90;70;95;70
"grimer";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/88.png";9;300;65;80;50;80;40;50;25
"muk";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/89.png";12;300;175;105;75;105;65;100;50
"shellder";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/90.png";3;40;61;65;100;30;45;25;40
"cloyster";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/91.png";15;1325;184;95;180;50;85;45;70
"gastly";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/92.png";13;1;62;35;30;30;100;35;80
"haunter";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/93.png";16;1;142;50;45;45;115;55;95
"gengar";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/94.png";15;405;225;65;60;60;130;75;110
"onix";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/95.png";88;2100;77;45;160;35;30;45;70
"drowzee";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/96.png";10;324;66;48;45;60;43;90;42
"hypno";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/97.png";16;756;169;73;70;85;73;115;67
"krabby";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/98.png";4;65;65;105;90;30;25;25;50
"kingler";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/99.png";13;600;166;130;115;55;50;50;75
"voltorb";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/100.png";5;104;66;30;50;40;55;55;100
"electrode";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/101.png";12;666;168;50;70;60;80;80;140
"exeggcute";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/102.png";4;25;65;40;80;60;60;45;40
"exeggutor";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/103.png";20;1200;182;95;85;95;125;65;55
"cubone";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/104.png";4;65;64;50;95;50;40;50;35
"marowak";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/105.png";10;450;149;80;110;60;50;80;45
"hitmonlee";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/106.png";15;498;159;120;53;50;35;110;87
"hitmonchan";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/107.png";14;502;159;105;79;50;35;110;76
"lickitung";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/108.png";12;655;77;55;75;90;60;75;30
"koffing";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/109.png";6;10;68;65;95;40;60;45;35
"weezing";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/110.png";12;95;172;90;120;65;85;70;60
"rhyhorn";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/111.png";10;1150;69;85;95;80;30;30;25
"rhydon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/112.png";19;1200;170;130;120;105;45;45;40
"chansey";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/113.png";11;346;395;5;5;250;35;105;50
"tangela";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/114.png";10;350;87;55;115;65;100;40;60
"kangaskhan";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/115.png";22;800;172;95;80;105;40;80;90
"horsea";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/116.png";4;80;59;40;70;30;70;25;60
"seadra";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/117.png";12;250;154;65;95;55;95;45;85
"goldeen";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/118.png";6;150;64;67;60;45;35;50;63
"seaking";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/119.png";13;390;158;92;65;80;65;80;68
"staryu";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/120.png";8;345;68;45;55;30;70;55;85
"starmie";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/121.png";11;800;182;75;85;60;100;85;115
"mr-mime";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/122.png";13;545;161;45;65;40;100;120;90
"scyther";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/123.png";15;560;100;110;80;70;55;80;105
"jynx";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/124.png";14;406;159;50;35;65;115;95;95
"electabuzz";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/125.png";11;300;172;83;57;65;95;85;105
"magmar";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/126.png";13;445;173;95;57;65;100;85;93
"pinsir";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/127.png";15;550;175;125;100;65;55;70;85
"tauros";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/128.png";14;884;172;100;95;75;40;70;110
"magikarp";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/129.png";9;100;40;10;55;20;15;20;80
"gyarados";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/130.png";65;2350;189;125;79;95;60;100;81
"lapras";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/131.png";25;2200;187;85;80;130;85;95;60
"ditto";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/132.png";3;40;101;48;48;48;48;48;48
"eevee";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/133.png";3;65;65;55;50;55;45;65;55
"vaporeon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/134.png";10;290;184;65;60;130;110;95;65
"jolteon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/135.png";8;245;184;65;60;65;110;95;130
"flareon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/136.png";9;250;184;130;60;65;95;110;65
"porygon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/137.png";8;365;79;60;70;65;85;75;40
"omanyte";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/138.png";4;75;71;40;100;35;90;55;35
"omastar";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/139.png";10;350;173;60;125;70;115;70;55
"kabuto";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/140.png";5;115;71;80;90;30;55;45;55
"kabutops";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/141.png";13;405;173;115;105;60;65;70;80
"aerodactyl";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/142.png";18;590;180;105;65;80;60;75;130
"snorlax";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/143.png";21;4600;189;110;65;160;65;110;30
"articuno";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/144.png";17;554;261;85;100;90;95;125;85
"zapdos";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/145.png";16;526;261;90;85;90;125;90;100
"moltres";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/146.png";20;600;261;100;90;90;125;85;90
"dratini";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/147.png";18;33;60;64;45;41;50;50;50
"dragonair";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/148.png";40;165;147;84;65;61;70;70;70
"dragonite";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/149.png";22;2100;270;134;95;91;100;100;80
"mewtwo";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/150.png";20;1220;306;110;90;106;154;90;130
"mew";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/151.png";4;40;270;100;100;100;100;100;100
"chikorita";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/152.png";9;64;64;49;65;45;49;65;45
"bayleef";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/153.png";12;158;142;62;80;60;63;80;60
"meganium";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/154.png";18;1005;236;82;100;80;83;100;80
"cyndaquil";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/155.png";5;79;62;52;43;39;60;50;65
"quilava";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/156.png";9;190;142;64;58;58;80;65;80
"typhlosion";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/157.png";17;795;240;84;78;78;109;85;100
"totodile";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/158.png";6;95;63;65;64;50;44;48;43
"croconaw";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/159.png";11;250;142;80;80;65;59;63;58
"feraligatr";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/160.png";23;888;239;105;100;85;79;83;78
"sentret";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/161.png";8;60;43;46;34;35;35;45;20
"furret";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/162.png";18;325;145;76;64;85;45;55;90
"hoothoot";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/163.png";7;212;52;30;30;60;36;56;50
"noctowl";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/164.png";16;408;155;50;50;100;76;96;70
"ledyba";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/165.png";10;108;53;20;30;40;40;80;55
"ledian";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/166.png";14;356;137;35;50;55;55;110;85
"spinarak";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/167.png";5;85;50;60;40;40;40;40;30
"ariados";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/168.png";11;335;137;90;70;70;60;60;40
"crobat";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/169.png";18;750;241;90;80;85;70;80;130
"chinchou";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/170.png";5;120;66;38;38;75;56;56;67
"lanturn";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/171.png";12;225;161;58;58;125;76;76;67
"pichu";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/172.png";3;20;41;40;15;20;35;35;60
"cleffa";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/173.png";3;30;44;25;28;50;45;55;15
"igglybuff";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/174.png";3;10;42;30;15;90;40;20;15
"togepi";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/175.png";3;15;49;20;65;35;40;65;20
"togetic";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/176.png";6;32;142;40;85;55;80;105;40
"natu";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/177.png";2;20;64;50;45;40;70;45;70
"xatu";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/178.png";15;150;165;75;70;65;95;70;95
"mareep";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/179.png";6;78;56;40;40;55;65;45;35
"flaaffy";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/180.png";8;133;128;55;55;70;80;60;45
"ampharos";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/181.png";14;615;230;75;85;90;115;90;55
"bellossom";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/182.png";4;58;221;80;95;75;90;100;50
"marill";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/183.png";4;85;88;20;50;70;20;50;40
"azumarill";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/184.png";8;285;189;50;80;100;60;80;50
"sudowoodo";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/185.png";12;380;144;100;115;70;30;65;30
"politoed";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/186.png";11;339;225;75;75;90;90;100;70
"hoppip";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/187.png";4;5;50;35;40;35;35;55;50
"skiploom";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/188.png";6;10;119;45;50;55;45;65;80
"jumpluff";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/189.png";8;30;207;55;70;75;55;95;110
"aipom";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/190.png";8;115;72;70;55;55;40;55;85
"sunkern";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/191.png";3;18;36;30;30;30;30;30;30
"sunflora";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/192.png";8;85;149;75;55;75;105;85;30
"yanma";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/193.png";12;380;78;65;45;65;75;45;95
"wooper";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/194.png";4;85;42;45;45;55;25;25;15
"quagsire";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/195.png";14;750;151;85;85;95;65;65;35
"espeon";"https://raw.githubusercontent.com/phalt/pokeapi/master/data/Pokemon_XY_Sprites/196.png";9;265;184;65;60;65;130;95;110
